# Compact pinyin → hanzi. Generated from mozillazg/pinyin-data (MIT).
a	吖呵啊嗄腌錒锕阿
hua	化侉划劃劐华叱吪咶哇哗嘩
huai	佪划劃咶喟圳坏坯壊壞徊怀
huan	还唤喚喛嚾圂圜垸奂奐嬛孉
huang	偟兤凰喤堭塃墴奛媓宺崲巟
hui	会佪僡儶匯卉叀咴哕喙嘒噅
hun	俒倱圂堚婚婫忶惛惽慁捆掍
huo	和化伙佸俰剨劐吙呵咟嚄嚯
ji	其机级己丌丮乁乩亟亼亽伋
jia	家乫价伽佳假傢價加叚呷咖
jian	前件侟俭俴倹健傔僣僭儉兼
jiang	傋僵勥匞匠塂壃夅奖奨奬姜
jiao	交佼侥僑僥僬儌剿劋勦卻叫
jie	家她丯亥介价借倢假偈偕偼
jin	进仅今伒侭僅僸儘兓凚劤劲
jing	经丼井京亰仱俓倞傹儆兢净
jiong	侰僒冂冋冏囧坰坷垧埛扃扄
jiu	就丩久乆九乣倃僦剹勼匓匛
ju	车且举乬仇佝侷俥俱倨倶僪
juan	倦劵勌勬卷呟圈埍埢奆姢娟
jue	乙亅倔傕决刔劂勪匷厥叕吷
jun	军俊儁匀卷君呁均埈姰寯峻
ka	佧卡呿咔咖咯喀垰擖胩衉裃
kai	开凯凱剀剴劾勓喝喫嘅垲塏
kan	看侃偘冚凵刊勘喊坎埳堪堿
kang	亢伉匟囥坑奋嫝嵻康忼慷扛
kao	丂尻嵪拷搞撟攷栲槀槁洘烤
ke	可克刻剋勀勊匼呵咳喀嗑坷
kei	刻剋尅
ken	啃垠垦墾恳懇掯狠珢硍肎肯
keng	劥吭坈坑奟妔忐挳揁摼殸牼
kong	倥埪孔崆恐悾控椌涳矼硿穹
kou	佝冦刳剾劶區口叩嫗宼寇彀
ku	俈刳古哭喾嚳圐圣堀崫库庫
kua	侉咵垮夸姱恗挎晇楇絓胯舿
kuai	会侩傀儈凷哙噲圦块塊墤巜
kuan	完宽寛寬梡棵欵款歀窽窾臗
kuang	丱儣兄况劻匡匩卝呈哐圹壙
kui	亏傀刲匮匱喟喹嘳夔奎媿嬇
kun	卵困坤堃堒壸壼婫尡崐崑悃
kuo	噋噲廓懖扩拡括挄擴會栝桰
la	儠剌啦喇嚹垃拉揦揧搚摺擸
lai	来來俫倈勑厲唻娕婡崃崍庲
lan	僋儖兰厱啉嚂囒囕坔壈壏婪
lang	俍勆哴唥啷埌塱嫏崀廊悢斏
lao	老佬僗僚劳労勞咾哰唠嗠嘐
le	了乐仂勒叻嘞忇扐楽樂氻泐
lei	傫儡儽勒厽嘞垒塁壘壨婁嫘
len	啉
leng	倰冷堎塄崚愣棱楞睖碐稜薐
li	里理位丽仂例俐俚俪傈儮儷
lia	俩倆
lian	亷令僆劆匲匳嗹噒堜奁奩媡
liang	両两亮俍俩倆倞兩凉哴唡啢
liao	了佬僇僚勞叾嘹嫽寥寮尞尥
lie	例倈儠冽列劣劦劽咧哷埒埓
lin	临亃任伈僯冧凛凜厸吝啉壣
ling	令伶倰冷凌刢另呤囹坽夌姈
liu	僂六刘劉嚠塯媹嬼嵧廇懰摎
lo	咯囖
long	儱咙哢嚨垄垅壟壠寵屸嶐巃
lou	偻僂剅喽嘍塿娄婁寠屚嵝嶁
lu	侓僇六剹勎勠卢卤噜嚕嚧圥
luan	乱乿亂卵圝圞奱娈孌孪孿峦
lun	仑伦侖倫囵圇埨婨崘崙惀抡
luo	倮儸儽剆咯啰囉峈挼捋捰摞
lv	侣侶偻僂儢勴吕呂哷垏壘婁
lve	剠圙寽掠擽率略畧稤藥詻鋝
m	呒呣唔嘸
